state,latitude,longitude,quarter,temperature_2m_meanmean,temperature_2m_meansum,relative_humidity_2m_meanmean,relative_humidity_2m_meansum,wind_speed_10m_maxmax,temperature_2m_maxmax,relative_humidity_2m_maxmax,temperature_2m_minmin,relative_humidity_2m_minmin,precipitation_hours_sum,moderate_drizzle_sum,moderate_rain_sum,light_rain_sum,heavy_rain_sum,overcast_sum,partly_cloudy_sum,clear_sky_sum,light_drizzle_sum,mainly_clear_sum,heavy_drizzle_sum,light_snow_sum,heavy_snow_sum,moderate_snow_sum,year,D0_mean,D1_mean,D2_mean,D3_mean,D4_mean,D0_max,D1_max,D2_max,D3_max,D4_max,state_code,num_colonies,varroa_mites,other_pests_and_parasites,diseases,pesticides,other_or_unknown
Alabama,32.806671,-86.79113,1,9.138388803333331,822.4549923,72.11832428888889,6490.649186,31.782108,25.1495,100.0,-8.0005,24.917511,342.0,8,10,9,1,36,5,4,9,5,2,1,0,0,2015,47.59153846153846,7.772307692307692,0.0,0.0,0.0,70.92,17.2,0.0,0.0,0.0,AL,7000.0,10.0,5.4,0.0,2.2,9.4
Iowa,42.011539,-93.210526,1,-4.2007269188444445,-378.065422696,68.2184066,6139.656594,41.62478,25.633,99.63809,-29.117,27.374916,117.0,3,0,1,0,52,3,4,1,3,1,11,4,7,2015,17.478461538461538,0.0023076923076923,0.0,0.0,0.0,48.91,0.01,0.0,0.0,0.0,IA,12500.0,26.0,0.7,4.6,3.4,18.0
Tennessee,35.747845,-86.692345,1,4.3182638975,388.643750775,68.74015092222223,6186.613583,33.48,23.5875,100.0,-13.762501,21.196928,377.0,9,6,6,0,34,4,3,6,2,5,9,0,6,2015,24.204615384615387,10.069230769230767,2.036153846153846,0.0,0.0,51.45,28.56,13.07,0.0,0.0,TN,9500.0,22.2,17.1,0.0,0.0,13.0
Indiana,39.849426,-86.258278,1,-2.129259134911111,-191.633322142,69.02440297777777,6212.196268,37.97104,21.185,99.99999,-26.165,22.679853,302.0,4,3,4,0,43,4,0,4,0,0,13,3,12,2015,1.9123076923076925,0.1146153846153846,0.0,0.0,0.0,3.91,0.59,0.0,0.0,0.0,IN,9000.0,20.7,0.3,0.2,0.3,22.3
Illinois,40.633125,-89.398529,1,-2.7203286789444445,-244.829581105,68.1052949,6129.476541,37.379375,22.578999,100.0,-23.271,23.906698,214.0,5,1,1,0,46,3,0,9,1,0,10,1,13,2015,6.567692307692307,0.0046153846153846,0.0,0.0,0.0,41.16,0.01,0.0,0.0,0.0,IL,6000.0,12.3,6.9,0.7,0.4,12.6
Texas,31.054487,-97.563461,1,10.161685204666666,914.55166842,71.17411613333334,6405.670452,35.728977,27.244,100.0,-5.156,25.611755,304.0,8,6,4,0,41,7,6,13,0,1,2,0,2,2015,57.77461538461538,40.27153846153846,25.356153846153845,12.795384615384616,3.357692307692308,61.65,43.39,27.86,15.1,4.46,TX,191000.0,21.5,12.2,5.0,11.1,6.2
Idaho,44.068202,-114.742043,1,-4.444328659611111,-399.989579365,72.11493800000001,6490.34442,19.45333,9.4,98.57236,-20.25,24.547281,285.0,1,0,0,0,36,3,4,2,3,0,19,6,16,2015,64.70461538461538,36.11769230769231,17.29769230769231,2.8415384615384616,0.0,75.47,41.46,18.54,3.4,0.0,ID,81000.0,39.8,6.7,12.5,4.8,8.9
Utah,39.32098,-111.093735,1,-2.743925964255556,-246.953336783,67.04794456666666,6034.315011,23.675304,16.022001,98.18337,-20.678,15.316935,198.0,2,0,0,0,35,11,10,3,6,0,9,2,12,2015,93.91384615384617,78.70692307692308,18.31,2.0123076923076924,0.0,100.0,99.05,51.83,9.32,0.0,UT,6000.0,13.6,0.9,0.1,4.4,3.0
Hawaii,20.902977,-156.207483,1,23.10781117777778,2079.703006,73.15418683333333,6583.876815,41.500053,29.0445,98.46033,16.744501,41.253582,489.0,11,1,5,0,18,10,1,28,9,7,0,0,0,2015,91.57076923076924,34.933846153846154,0.0,0.0,0.0,100.0,54.43,0.0,0.0,0.0,HI,10500.0,38.8,37.7,1.6,0.0,2.0
South Dakota,44.299782,-99.438828,1,-2.990328830111111,-269.12959471,60.20200915555556,5418.180824,44.04523,24.074001,98.91544,-27.976,11.674135,84.0,1,0,0,0,57,5,2,6,3,0,11,0,5,2015,68.10923076923078,8.373846153846154,0.0,0.0,0.0,99.43,42.78,0.0,0.0,0.0,SD,50000.0,1.2,0.9,0.3,0.5,1.8
Vermont,44.045876,-72.710686,1,-11.620143361111111,-1045.8129025,70.01042753333333,6300.938478,30.928587,5.8065,99.298065,-30.8435,29.544725,348.0,0,0,0,0,29,2,4,0,0,0,27,5,23,2015,9.645384615384616,0.0,0.0,0.0,0.0,80.75,0.0,0.0,0.0,0.0,VT,5500.0,2.3,5.6,0.0,0.0,5.8
Florida,27.766279,-81.686783,1,18.12649582222222,1631.384624,73.18288143333334,6586.459329,28.664682,31.063,100.0,1.313,27.345892,160.0,6,9,2,0,45,8,5,12,3,0,0,0,0,2015,18.434615384615384,4.292307692307692,0.153076923076923,0.0,0.0,31.65,9.88,1.09,0.0,0.0,FL,305000.0,22.3,13.5,0.8,8.9,5.1
Virginia,37.769337,-78.169968,1,2.739263958335556,246.5337562502,61.59480665555556,5543.532599,31.608328,23.2035,100.0,-20.3965,16.954922,295.0,1,2,6,0,43,5,1,10,2,3,6,4,7,2015,21.567692307692308,0.0,0.0,0.0,0.0,32.18,0.0,0.0,0.0,0.0,VA,8000.0,19.0,9.4,2.3,0.0,11.9
Connecticut,41.597782,-72.755371,1,-4.231777743888888,-380.85999695,66.57415587777777,5991.674029,33.626774,11.406,100.0,-20.894,18.69245,409.0,2,2,4,0,29,3,6,2,1,1,14,7,19,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CT,3900.0,2.5,1.4,0.0,0.0,21.2
Washington,47.400902,-121.490494,1,4.3284769268888885,389.56292342,83.60025597777778,7524.023038,23.277834,19.1235,100.0,-10.2765,27.097492,632.0,10,7,6,0,30,5,0,11,2,2,5,1,11,2015,62.20923076923077,25.807692307692307,3.5307692307692307,0.0,0.0,73.06,34.26,12.9,0.0,0.0,WA,52000.0,21.5,0.5,0.3,3.6,6.0
Colorado,39.059811,-105.311104,1,-5.222009310333333,-469.98083793,68.87003518888889,6198.303167,21.707731,14.941,100.0,-23.959,14.669212,241.0,1,0,0,0,28,7,6,3,9,1,12,4,19,2015,55.0623076923077,37.61538461538461,15.073846153846157,0.0,0.0,67.78,51.74,39.75,0.0,0.0,CO,3500.0,14.6,0.9,1.8,0.6,5.9
West Virginia,38.491226,-80.954456,1,0.3975186052222222,35.77667447,66.59906207777779,5993.915587,37.37244,20.966501,100.0,-24.9335,16.503645,442.0,6,5,3,0,33,0,1,4,0,3,17,5,13,2015,2.0569230769230766,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0,WV,4700.0,18.0,7.3,2.2,2.1,14.6
California,36.116203,-119.681564,1,15.016662313333333,1351.4996082,57.3772761,5163.954849,25.071096,33.8065,99.6672,-1.0435,10.07924,64.0,7,1,1,0,52,11,8,2,7,1,0,0,0,2015,99.89076923076922,98.11307692307692,93.72692307692309,71.22461538461538,39.5523076923077,100.0,98.13,94.34,77.94,41.41,CA,1440000.0,24.7,7.2,3.0,7.5,6.5
Wisconsin,44.268543,-89.616508,1,-7.432411996733333,-668.917079706,69.08159441111111,6217.343497,32.43398,18.338999,97.49914,-28.911001,22.933075,142.0,2,0,0,0,53,3,1,0,1,0,17,1,12,2015,36.42692307692308,6.104615384615385,0.0,0.0,0.0,100.0,55.36,0.0,0.0,0.0,WI,16500.0,18.8,1.6,2.7,8.5,8.3
Georgia,33.040619,-83.643074,1,9.007611144444445,810.685003,70.05160316666667,6304.644285,26.865265,26.744,100.0,-6.056,23.49925,259.0,5,8,7,0,40,6,3,13,4,4,0,0,0,2015,11.99076923076923,0.0,0.0,0.0,0.0,41.72,0.0,0.0,0.0,0.0,GA,104000.0,6.2,4.9,3.3,2.6,10.5
