state,latitude,longitude
Alabama,32.806671,-86.79113
Alaska,61.370716,-152.404419
Arizona,33.729759,-111.431221
Arkansas,34.969704,-92.373123
California,36.116203,-119.681564
Colorado,39.059811,-105.311104
Connecticut,41.597782,-72.755371
Delaware,39.318523,-75.507141
Florida,27.766279,-81.686783
Georgia,33.040619,-83.643074
Hawaii,20.902977,-156.207483
Idaho,44.068202,-114.742043
Illinois,40.633125,-89.398529
Indiana,39.849426,-86.258278
Iowa,42.011539,-93.210526
Kansas,38.5266,-96.726486
Kentucky,37.66814,-84.670067
Louisiana,31.169546,-91.867805
Maine,45.367584,-68.972168
Maryland,39.045753,-76.641273
Massachusetts,42.407211,-71.382439
Michigan,44.182205,-84.506836
Minnesota,46.39241,-94.63623
Mississippi,32.741646,-89.678696
Missouri,38.456085,-92.288368
Montana,46.921925,-110.454353
Nebraska,41.12537,-98.268082
Nevada,38.313515,-117.055374
New Hampshire,43.452492,-71.563896
New Jersey,40.298904,-74.521011
New Mexico,34.840515,-106.248482
New York,42.165726,-74.948051
North Carolina,35.630066,-79.806419
North Dakota,47.528912,-99.784012
Ohio,40.388783,-82.764915
Oklahoma,35.565342,-96.928917
Oregon,44.572021,-122.070938
Pennsylvania,40.590752,-77.209755
Rhode Island,41.680893,-71.51178
South Carolina,33.856892,-80.945007
South Dakota,44.299782,-99.438828
Tennessee,35.747845,-86.692345
Texas,31.054487,-97.563461
Utah,39.32098,-111.093735
Vermont,44.045876,-72.710686
Virginia,37.769337,-78.169968
Washington,47.400902,-121.490494
West Virginia,38.491226,-80.954456
Wisconsin,44.268543,-89.616508
Wyoming,42.755966,-107.30249
