state,year,quarter,D0_mean,D1_mean,D2_mean,D3_mean,D4_mean,D0_max,D1_max,D2_max,D3_max,D4_max
Alabama,2000,1,100.0,58.78,8.708461538461538,0.0,0.0,100.0,76.88,22.68,0.0,0.0
Alabama,2000,2,85.49307692307693,67.94384615384615,35.573076923076925,13.531538461538462,0.8976923076923077,100.0,100.0,68.03,40.35,3.91
Alabama,2000,3,100.0,99.36846153846153,95.02153846153846,84.37846153846155,55.97461538461539,100.0,100.0,100.0,99.98,77.9
Alabama,2000,4,100.0,99.98461538461538,96.34846153846154,50.426153846153845,20.636153846153846,100.0,100.0,100.0,100.0,65.47
Alabama,2001,1,72.3923076923077,49.909230769230774,15.721538461538461,0.0,0.0,100.0,100.0,47.09,0.0,0.0
Alabama,2001,2,21.686153846153847,1.2284615384615383,0.0,0.0,0.0,58.7,9.95,0.0,0.0,0.0
Alabama,2001,3,0.17230769230769233,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0
Alabama,2001,4,24.49076923076923,2.603846153846154,0.0,0.0,0.0,43.63,7.83,0.0,0.0,0.0
Alabama,2002,1,40.690000000000005,10.406153846153845,1.0453846153846154,0.0,0.0,76.66,24.39,3.62,0.0,0.0
Alabama,2002,2,67.53846153846153,35.060769230769225,13.436153846153845,0.02769230769230769,0.0,94.91,64.16,32.11,0.15,0.0
Alabama,2002,3,75.92692307692307,41.18846153846154,13.589230769230769,0.07923076923076923,0.0,98.28,61.48,25.66,0.67,0.0
Alabama,2002,4,3.4107142857142856,0.7178571428571427,0.0,0.0,0.0,21.26,10.04,0.0,0.0,0.0
Alabama,2003,1,0.43500000000000005,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0
Alabama,2003,2,1.1915384615384614,0.0,0.0,0.0,0.0,10.37,0.0,0.0,0.0,0.0
Alabama,2003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2004,1,6.058461538461539,0.0,0.0,0.0,0.0,43.99,0.0,0.0,0.0,0.0
Alabama,2004,2,39.01,3.4423076923076925,0.0,0.0,0.0,99.7,15.64,0.0,0.0,0.0
Alabama,2004,3,3.670769230769231,0.0,0.0,0.0,0.0,31.98,0.0,0.0,0.0,0.0
Alabama,2004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2005,1,2.476153846153846,0.0,0.0,0.0,0.0,16.24,0.0,0.0,0.0,0.0
Alabama,2005,2,1.6115384615384616,0.10153846153846155,0.0,0.0,0.0,11.07,1.32,0.0,0.0,0.0
Alabama,2005,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2005,4,22.642307692307693,0.8261538461538461,0.0,0.0,0.0,83.08,9.6,0.0,0.0,0.0
Alabama,2006,1,15.844615384615386,0.1223076923076923,0.0,0.0,0.0,54.13,1.44,0.0,0.0,0.0
Alabama,2006,2,37.91230769230769,13.265384615384615,2.32,0.17307692307692307,0.0,68.72,46.5,6.61,0.75,0.0
Alabama,2006,3,99.67692307692307,95.20076923076923,62.175384615384615,15.613076923076921,0.0,100.0,100.0,92.92,35.55,0.0
Alabama,2006,4,54.20076923076923,19.71153846153846,0.0,0.0,0.0,100.0,73.29,0.0,0.0,0.0
Alabama,2007,1,51.42923076923077,16.542307692307695,4.406153846153846,0.2907692307692308,0.0,100.0,77.82,43.36,3.78,0.0
Alabama,2007,2,97.52384615384615,89.74,66.47692307692309,45.51384615384615,11.251538461538463,100.0,100.0,99.51,90.01,43.74
Alabama,2007,3,99.59692307692308,93.1123076923077,83.17076923076924,67.9976923076923,48.79230769230769,100.0,100.0,91.74,87.47,74.38
Alabama,2007,4,96.57076923076923,88.70846153846153,75.8323076923077,64.97846153846154,51.40076923076923,100.0,99.98,93.25,83.13,73.05
Alabama,2008,1,83.42846153846153,74.37615384615384,63.033846153846156,46.56384615384616,25.536153846153848,90.89,82.17,69.32,57.62,42.06
Alabama,2008,2,84.89692307692309,64.46461538461539,42.02846153846154,11.241538461538461,0.0,91.72,72.12,57.08,33.89,0.0
Alabama,2008,3,80.69642857142857,52.18357142857143,23.47,2.781428571428571,0.0,97.11,80.06,49.24,15.21,0.0
Alabama,2008,4,67.4423076923077,16.93307692307692,1.43,0.0,0.0,93.01,52.7,4.05,0.0,0.0
